road,id,model_type,name,lat,lon,length
N1,LRP305a,bridge,bridge 304,21.9622138572549,92.0633168764705,22.4
N1,LRP305c,bridge,bridge 305,21.9592401112903,92.0652791298387,8.2
N1,LRP306a,bridge,bridge 306,21.9580321636363,92.0663932818182,3.0
N1,LRP306b,bridge,bridge 307,21.9520795406909,92.0678138084453,22.4
N1,LRP307a,bridge,bridge 308,21.9453993720173,92.0669286609544,1.4
N1,LRP308a,bridge,bridge 309,21.9360290154471,92.0625427235772,4.5
N1,LRP308b,bridge,bridge 310,21.9339454415019,92.0616661541501,9.3
N1,LRP309a,bridge,bridge 311,21.9323086726114,92.0608009579617,4.5
N1,LRP309b,bridge,bridge 312,21.93038125,92.0596840375,4.7
N1,LRP310a,bridge,bridge 313,21.9179119605128,92.0597362988034,2.0
N1,LRP310b,bridge,bridge 314,21.9167591663366,92.0599899313531,3.0
N1,LRP311a,bridge,bridge 315,21.9140727206278,92.0605472089686,4.0
N1,LRP311b,bridge,bridge 316,21.909622912133,92.0605661266144,9.2
N1,LRP313b,bridge,bridge 317,21.8910236519337,92.0597010756906,13.64
N1,LRP314a,bridge,bridge 318,21.8812215213685,92.0590015447779,9.3
N1,LRP315a,bridge,bridge 319,21.8751197401574,92.0591098413385,3.0
N1,LRP316a,bridge,bridge 320,21.8628351415656,92.0594848712238,3.0
N1,LRP317a,bridge,bridge 321,21.8599725797297,92.0601907085585,56.4
N1,LRP318a,bridge,bridge 322,21.8529287900552,92.0609576198894,14.3
N1,LRP318b,bridge,bridge 323,21.8508595323144,92.0609491344978,2.1
N1,LRP319a,bridge,bridge 324,21.8429700741784,92.0635984638497,4.5
N1,LRP319b,bridge,bridge 325,21.8403935683229,92.0649325472049,3.0
N1,LRP320a,bridge,bridge 326,21.8341033152866,92.0682735910828,15.8
N1,LRP321a,bridge,bridge 327,21.8280258214285,92.0713035547619,7.3
N1,LRP321b,bridge,bridge 328,21.8257831806122,92.0723466282313,46.0
N1,LRP321d,bridge,bridge 329,21.8211428750483,92.0740201388781,12.4
N1,LRP322a,bridge,bridge 330,21.8181692602209,92.0739442353591,14.0
N1,LRP323b,bridge,bridge 331,21.8034238025641,92.0772322128205,14.0
N1,LRP325a,bridge,bridge 332,21.787854008387,92.0788540064516,20.6
N1,LRP325c,bridge,bridge 333,21.786997484,92.0789493159999,21.0
N1,LRP326a,bridge,bridge 334,21.7841953311111,92.0792425355555,14.2
N1,LRP327a,bridge,bridge 335,21.7735339222222,92.0839144733333,15.7
